gene_name	DDdenovo_syn	DDdenovo_mis	DDdenovo_stopgain	gnomAD_syn	gnomAD_mis	gnomAD_stopgain
WNT8B	0	0	0	26	51	3
WDR74	0	0	0	28	55	3
FTMT	0	0	0	29	66	1
TUBB3	1	1	0	83	26	1
C1orf232	0	0	0	27	46	1
ENSG00000284762	1	2	0	76	96	0
HSPB7	0	0	0	30	37	1
TPRKB	0	0	0	12	31	1
LRRC74B	0	1	0	36	83	3
FAM118A	0	2	0	58	75	1
FAM47E	0	1	0	44	76	4
FBXO48	0	0	0	13	18	2
CELSR2	1	2	1	356	651	4
PSMD1	0	5	0	67	100	0
SUMF1	0	0	0	41	97	2
ATP2C1	0	3	0	45	96	2
VWA5B1	0	3	0	148	363	13
TOP1MT	3	2	1	77	166	9
CST8	0	2	0	18	45	3
CHTOP	0	0	0	23	44	1
EP300	4	25	15	239	420	0
ELAVL4	0	1	0	28	36	0
AP1S3	0	0	0	11	31	0
UBL5	0	0	0	8	4	0
CDH22	0	2	0	114	182	2
ARHGAP40	0	1	0	70	155	4
TYMP	0	1	0	76	137	2
ZNF148	1	3	2	63	72	0
TMEM134	1	1	0	22	54	4
TBX4	0	3	0	70	110	1
ZCCHC9	0	0	0	15	47	2
SEC23A	0	3	0	50	102	2
CACNA2D2	3	3	0	134	171	1
PPIP5K1	0	1	0	22	73	1
DLGAP3	1	1	0	135	180	1
HENMT1	1	0	0	31	76	2
SLA2	0	2	0	22	55	2
MFAP5	1	0	0	20	39	2
OR52K1	1	1	0	43	93	2
WSCD1	0	3	0	85	178	7
ENSG00000272410	0	6	0	53	132	6
PLEKHA4	0	2	0	75	196	5
GPA33	0	1	0	52	83	2
CLTA	0	1	0	19	43	0
RNF214	0	2	0	51	109	0
TSR1	0	1	0	59	164	10
SPA17	0	0	0	12	28	0
C8orf88	0	0	0	10	26	1
KCNJ9	0	0	0	49	36	0
