gene	gene_gencodeV33	gene_id	chromosome	pLI	LOEUF	case.ptv	control.ptv	case.misb	control.misb	case.misa	control.misa	case.mis	control.mis	case.syn	control.syn
TPSB2	TPSB2	ENSG00000197253	16	5.33E-09	1.898	0	0	0	0	0	0	1	0	0	0
C10orf120	C10orf120	ENSG00000183559	10	3.55E-05	1.898	2	1	0	0	0	0	7	9	0	4
RP11-404P21.8	AL355102.2	ENSG00000258691	14	0.0047505	1.898	0	0	0	0	0	0	0	0	0	0
FAM25C	FAM25C	ENSG00000188279	10	0.088745	1.898	0	0	0	0	0	0	0	0	0	0
PSG5	PSG5	ENSG00000204941	19	8.82E-22	1.898	0	2	0	0	0	0	15	23	3	7
SLC38A8	SLC38A8	ENSG00000166558	16	3.32E-24	1.898	1	1	0	0	0	0	14	10	7	7
OR6B3	OR6B3	ENSG00000178586	2	0.00019086	1.898	0	0	0	0	0	3	1	0	3	3
OR13J1	OR13J1	ENSG00000168828	9	6.33E-06	1.899	0	0	0	0	0	0	5	17	3	6
KRTAP6-2	KRTAP6-2	ENSG00000186930	21	0.021487	1.899	1	0	0	0	0	0	0	2	0	0
C10orf95	C10orf95	ENSG00000120055	10	0.0047379	1.899	0	0	0	0	0	0	0	0	0	0
CLDN9	CLDN9	ENSG00000213937	16	6.31E-06	1.899	0	0	0	0	0	0	8	12	9	9
OR8K5	OR8K5	ENSG00000181752	11	1.11E-06	1.899	2	0	0	0	0	0	11	20	1	1
LRRC18	LRRC18	ENSG00000165383	10	3.51E-05	1.899	0	1	0	0	0	0	11	15	6	4
FAM24B	FAM24B	ENSG00000213185	10	0.088274	1.899	0	0	0	0	0	0	1	2	0	3
OR4X1	OR4X1	ENSG00000176567	11	6.31E-06	1.899	1	0	0	0	0	0	11	14	2	6
AC026202.1	AC026202.3	ENSG00000268509	3	0.00096777	1.899	0	0	0	0	0	0	0	0	0	0
ZNF658	ZNF658	ENSG00000196409	9	9.04E-14	1.9	1	1	0	0	0	0	1	6	0	2
OR10G9	OR10G9	ENSG00000236981	11	3.49E-05	1.9	2	0	0	0	0	1	2	6	4	0
PRSS3	PRSS3	ENSG00000010438	9	3.56E-12	1.9	1	0	0	0	0	1	5	8	5	5
RP11-410N8.4	NOL4L-DT	ENSG00000204393	20	0.021323	1.9	0	0	0	0	0	0	0	0	0	0
RP11-867G23.8	AP001107.9	ENSG00000255468	11	0.021441	1.9	0	0	0	0	0	0	0	0	0	0
ZNF845	ZNF845	ENSG00000213799	19	0.00095913	1.9	2	0	0	0	0	0	15	28	6	6
NUDT16	NUDT16	ENSG00000198585	3	0.0046241	1.901	0	0	0	0	1	0	2	0	3	0
PROK1	PROK1	ENSG00000143125	1	6.17E-06	1.901	0	1	0	0	1	1	5	5	1	0
SDHAF1	SDHAF1	ENSG00000205138	19	0.087043	1.901	0	0	0	0	0	0	0	0	0	0
ZNF107	ZNF107	ENSG00000196247	7	0.021156	1.901	2	4	0	0	0	0	8	16	6	4
C4orf36	C4orf36	ENSG00000163633	4	0.00018365	1.901	0	0	0	0	0	0	0	4	2	6
FAM182B	FAM182B	ENSG00000175170	20	0.087202	1.901	0	0	0	0	0	0	0	0	0	0
HIST2H2BF	H2BC18	ENSG00000203814	1	0.004633	1.901	1	1	1	0	0	1	0	0	1	1
OR52N2	OR52N2	ENSG00000180988	11	0.00018247	1.902	1	1	0	0	0	0	7	19	2	1
FCGR1B	FCGR1B	ENSG00000198019	1	1.34E-10	1.902	0	0	1	2	0	0	0	0	0	0
TMEM107	TMEM107	ENSG00000179029	17	3.05E-08	1.902	0	0	1	1	4	4	0	1	2	3
MT1X	MT1X	ENSG00000187193	16	0.00093353	1.902	0	0	0	0	0	0	2	4	0	0
RGPD4	RGPD4	ENSG00000196862	2	8.53E-62	1.902	0	0	0	0	0	0	0	0	0	0
SERPINA3	SERPINA3	ENSG00000196136	14	8.83E-14	1.902	1	4	0	0	0	0	14	16	3	3
C11orf40	C11orf40	ENSG00000171987	11	1.06E-06	1.902	0	0	0	0	0	0	13	17	1	4
KRTAP1-1	KRTAP1-1	ENSG00000188581	17	5.97E-06	1.903	0	2	0	0	0	1	3	9	1	0
GJD3	GJD3	ENSG00000183153	17	3.35E-05	1.903	0	0	0	0	0	2	0	0	0	0
DNAH10OS	DNAH10OS	ENSG00000250091	12	0.00017857	1.903	0	0	0	0	0	0	0	0	0	0
TMEM243	TMEM243	ENSG00000135185	7	1.05E-06	1.903	0	0	0	0	0	0	0	11	1	5
HTATIP2	HTATIP2	ENSG00000109854	11	5.38E-13	1.903	1	5	0	0	2	0	4	9	3	0
UPK2	UPK2	ENSG00000110375	11	2.99E-08	1.903	0	2	0	0	0	0	2	8	2	4
AC008060.7	AC008060.1	ENSG00000218672	7	0.0045284	1.903	0	0	0	0	0	0	0	0	0	0
FAM209B	FAM209B	ENSG00000213714	20	0.00017979	1.903	0	0	0	0	2	3	0	2	2	1
LRTM1	LRTM1	ENSG00000144771	3	3.37E-16	1.903	1	2	0	0	0	0	12	21	3	6
NEUROG3	NEUROG3	ENSG00000122859	10	5.96E-06	1.903	0	0	0	0	1	1	1	5	2	2
KRTAP13-3	KRTAP13-3	ENSG00000240432	21	0.085439	1.904	0	0	0	0	0	0	3	7	2	2
CALML3	CALML3	ENSG00000178363	10	0.00090968	1.904	1	0	0	0	4	4	1	1	2	2
PDF	PDF	ENSG00000258429	16	5.87E-06	1.904	0	0	0	0	0	0	0	2	0	0
CCK	CCK	ENSG00000187094	3	3.30E-05	1.904	0	0	0	0	3	0	1	0	4	5
LCE2D	LCE2D	ENSG00000187223	1	0.085242	1.904	0	0	0	0	0	0	9	10	3	6
LCE3D	LCE3D	ENSG00000163202	1	0.020613	1.904	2	0	0	0	0	0	3	2	3	5
CHCHD2	CHCHD2	ENSG00000106153	7	1.73E-07	1.904	0	0	0	0	1	0	1	3	1	1
